id,label,gender,profession,ideology_binary,ideology_multiclass,tweet
37732,@user239,female,politician,right,moderate_right,"@user, propuestas de futuro 💪#no tocar las reformas útiles . 💪trabajar en el pacto de Toledo . 💪EMPLEO . 💪PGE 2018 rebajas fiscales a pensionistas"
38447,@user13,female,journalist,left,left,"@user @user Podemos entrar en bucle hasta el infinito y más allá. . ¿Pa, pa, pa qué highlighter, si tú brillas sola?. Quiero ser el número uno en tu emisora. Si me convierto en surfista es pa montarme en tus olas. Le pido a Dios que te cuide, pero tú te cuidas sola."
10758,@user8,female,politician,left,moderate_left,"👉🏻Como gallega me produce profunda decepción ver al BNG buscando excusas para justificar su NO a estos presupuestos, objetivamente buenos para nuestra tierra,que hasta incluyen la AP9, tan necesarios para #Galicia, pero sitúanse vostedes, o BNG, a carón  do [POLITICAL_PARTY], C’s e [POLITICAL_PARTY]❌"
33860,@user262,male,politician,right,right,"Y ahora, tras este raro de amable discusión sobre físicos, a lo importante. Un abrazo a mi amigo, responsable de urgencias en hospital público, al que me he encontrado muy fastidiado en su reinfección por COVID. Y el tío deseando incorporarse a la lucha. Eso sí es importante."
11677,@user341,female,politician,right,right,"1-No se trata de defender o no la labor de @user, que ha sido brillante, sino que es una prueba más de lo que te ocurre hoy si no te vincula con el feminismo y con el consenso viciado y enfermo de que “todas las ideas” son tolerables para ser aceptado como demócrata."
42396,@user411,male,politician,left,moderate_left,"🌹 Soy diputado del @user @user y votaré SÍ. Votaré sí a un Gobierno progresista, votaré sí por una España que avance, por una sociedad más justa y más igualitaria, por más derechos y libertades. Votaré SÍ a Pedro @user . #167Valientes. @user"
20667,@user27,female,politician,left,moderate_left,"Hoy 4/02/2017 manifestación, 11h, con salida desde el Cabildo Viejo, hasta la entrada del Cabildo Insular. . #RadioterapiaEnLanzaroteYA"
1589,@user380,female,politician,left,left,"@user ¿Estirando el chicle? Ni he entrado ni voy a entrar. Aquí somos ya muy mayores y cada cual sabe perfectamente lo que ha hecho. Una cosa son los hechos y otra el relato. Cuando no has provocado la situación, y has intentado acuerdos, no tienes que entrar al fango, y eso hago"
5371,@user429,female,politician,right,moderate_right,No sorprende que los herederos de Batasuna no condenen la violencia. A día de hoy siguen sin condenar ni uno de los crímenes de ETA. Lo lamentable es que el [POLITICAL_PARTY] pacte Presupuestos y todo tipo de leyes con un partido tan profundamente inmoral👇
25007,@user340,male,politician,right,right,"Para aminorar el impacto de la crisis:. @user: Exigimos un Plan De Contingencia Fiscal que permita reducir las cargas impositivas de las familias y empresas.Aprobando una rebaja tanto en impuestos estatales como municipales (IVA, IBI, TASAS vinculadas a la actividad económica)"
11007,@user460,female,politician,left,left,"A favor de derogar la Ley Mordaza, a favor de derogar las reformas laborales, a favor de políticas de igualdad presupuestadas y ejecutadas. A favor de hablar de programa."
34722,@user315,female,politician,left,moderate_left,"Hoy, España 🇪🇸 comienza el camino para contar con más derechos, el Anteproyecto de Ley para la igualdad real y efectiva de las personas #trans y para la garantía de los derechos de las personas #LGTBI. Otra vez d la mano de un presidente socialista. [#POLITICAL_PARTY]"
24043,@user425,male,politician,right,moderate_right,"🔴 No os podéis perder la exposición en el Bizkaia Aretoa de #Bilbao ""María Sklodowska Curie. Una polaca en París"" sobre la científica ganadora de dos premios Nobel. Una gran mujer que abrió el camino a otras mujeres en su lucha por la igualdad y la profesionalidad."
29820,@user300,male,politician,right,moderate_right,⚫️ En política no todo vale. A los enemigos de la democracia que esta noche han atacado nuestra sede local del @user que sepan que no conseguirán callarnos.
9710,@user295,male,politician,left,moderate_left,Queda claro que la derecha española prefiere fomentar el conflicto en Cataluña porque cree que les da votos en vez de resolverlo. Para gobernar España hay que defender su unidad pero también entender y respetar su diversidad y parece que eso sólo el @user lo hace. #ElDebate4N
9308,@user427,female,politician,left,moderate_left,"Se cumplen 85 años del asesinato de Federico #GarcíaLorca. . Hoy sigue más vivo que nunca en nuestra memoria. ""Porque me arrastran y voy. y me dices que vuelva. y te sigo por el aire. como una brizna de hierba""."
