id,label,gender,profession,tweet
34934,@user191,male,politician,¡Me ha gustado este relato! Anímate a escribir el tuyo y gana 3000€! #RelatosBreves
31988,@user361,male,politician,"@user Menudo lío mental el suyo . ¡Qué tendrán que ver los judíos y los gitanos con que me perezca un abuso que un hombre biológico compita en deporte femenino!. Todo el mundo tiene derecho a sentirse como quiera , pero eso no le da derecho a abusar de los demás. Que tenga buen día"
43460,@user399,male,politician,Menos de 30 palabras de Montero en una carta desmontan el discurso de Susana Díaz. Un jarro de agua fría para el [POLITICAL_PARTY]-A que si Sánchez no rectifica vamos a pagar todos. Parece que una vez más vuelven a poner los intereses de su partido por encima de los andaluces. #PlenoAND
46638,@user198,male,politician,"Tema lotería y las colas en ciertos sitios: por si alguien se deja ayudar, repetimos lo que dicen las matemáticas: te toca igual compres donde compres. Haz cola si eso te divierte, pero no ganas nada. Mira la cola y verás con cuánta gente tendrás que repartir lo que allí toque."
41383,@user432,female,politician,"Mi solidaridad con los afectados. El Gobierno trabaja con todos los medios disponibles para restablecer la situación tras el destructivo paso de #DANAseptiembre. Sigan las indicaciones de @user, @user, @user, @user y autoridades locales"
1681,@user391,male,politician,"@user Como diría mi tocayo @user para ser un gobierno Frankestein mira que a Pedro @user le ha quedado guapo, pero guapo, lo que se dice guapo"
46164,@user454,female,politician,"Dice María Chivite, la secretaria general del PSN-[POLITICAL_PARTY], que ""la derecha quiere llegar al poder de cualquier manera"". Y lo dice ella, cuyo jefe, Pedro Sánchez, no ha dudado en pactar con quienes quieren romper España, [POLITICAL_PARTY] incluido, para llegar a la Moncloa."
19075,@user239,female,politician,"@user ha señaladoEl Presidente del gobierno ha colaborado con la justicia, ha explicado todo lo que sabía y ha pedido perdón. Luego ganó por dos veces las elecciones con la confianza de los españoles, aprobando el mayor paquete de medidas contra la corrupción."
24020,@user258,male,politician,"Nos ha dejado un hombre de Estado, el que acabó con ETA, el que ponía los intereses de España por encima de cualquier otro, el que después de años de servicio a su país volvió a sus clases de química @user, siempre te recordaremos, dejas un legado para muchas generaciones."
46697,@user117,male,politician,#PlanAntibloqueo :. -habrá Gobierno en diciembre . -sin vacaciones parlamentarias para aprobar el techo de gasto. -en los 6 primeros meses sacaremos adelante leyes de Cambio Climático y de Educación. -en 1 año se llevará a cabo la modificación reforma laboral. #AhoraGobierno
46892,@user322,female,politician,MUJERES CAMPESINAS DE NICARAGUA. Hoy hemos tenido la oportunidad de charlar con YOLANDA ÁREAS que nos ha visitado de la mano de @user a la que apoyamos a través de las subvenciones de Cooperación de la Diputación de BIZKAIA. Energía feminista desde Centroamérica.
25218,@user110,female,politician,"Eso también es mentira. He contestado. Llevo unos 30 tweets. Pero no voy a repetirlo todo de nuevo. Puede usted leerlos. Al leer también se aprenden cosas que no se saben. Por cierto, la que ha dicho “adiós, muy buenas” ha sido usted, no yo."
49586,@user311,male,journalist,“Las cartas de #Reyero van mucho más allá de lo que se conocía hasta ahora. #Sanidad ignoró la petición de usar el hospital del #Ifema para atender a los mayores de #residencias “. @user acaba de explicar en #LasCosasClaras lo que ha desvelado en ⁦@user⁩.
35655,@user61,female,politician,"El PNV desvela desde Parlamento Vasco el acuerdo entre [POLITICAL_PARTY] y el Gobierno de Pedro Sánchez que consiste en el traslado de ""5 a la semana, 5 terroristas de ETA beneficiados cada Viernes !Que acuerdo más caro para sus víctimas y para España 🇪🇸!"
36087,@user269,male,politician,"Ningún actor político puede quedar ajeno a esta crisis, porque de la capacidad de todos dependerá que superemos el #COVID19 como un país fuerte y cohesionado. Ese será el prisma con el que nos mirarán las generaciones futuras y el baremo con el que nos juzgará la historia."
11283,@user443,male,politician,"Desde hoy, con @user . Declarar unilateralmente la independencia de una CCAA, sale gratis. Argumentar que una ley autonómica está por encima de la Constitución, también. —. Desde hoy, el interés partidista 🌹 está por encima de la unidad nacional🇪🇸. #SanchezDimision"
42411,@user31,male,politician,"Ni el muy progresista precio de la luz ni la crisis de Afganistán han alterado en lo más mínimo las vacaciones de Sánchez, que son sagradas. . Pero los españoles merecen un presidente del Gobierno que lidere en las situaciones difíciles y no se esconda. . #DóndeEstáSánchez"
26729,@user369,male,politician,"Mi plena solidaridad con Pablo Iglesias, Irene Montero y sus hijos. La radicalidad ha nublado la mente a demasiada gente en este país . Yo que he sufrido escraches me siento avergonzado de que tres niños no puedan ser libres en su país para descansar unos días con sus padres ."
1291,@user155,male,politician,La reforma del CGPJ de [POLITICAL_PARTY] y Podemos es un insulto. Quieren lo mismo que tanto critican al [POLITICAL_PARTY]: repartirse a los jueces con el objetivo de influir en las sentencias. Despierten ya. Se acabó el bipartidismo y este intercambio grotesco. Los jueces tienen que elegir a los jueces.
49577,@user83,female,politician,"Dónde está el ministro de Derechos Sociales @user durante la pandemia? Se lavó las manos en la gestión de los C. Residenciales de mayores y de personas con discapacidad y prefiere ejercer de Vicepresidente, más preocupado en el CNI y en crear altos cargos. @user"
987,@user348,male,journalist,Pronóstico del Tiempo: nubes en la mitad norte de la Península Ibérica y sol en el resto este 17 de mayo de 2021 - Periodista Digital
32607,@user276,male,journalist,No hay pintura negra suficiente en el mundo. Aquí están: Las 15 mujeres del mural de Ciudad Lineal
39342,@user49,male,politician,Podemos ya no sabe que hacer para reenganchar a tanto votante frustrado por los errores de la coalición y de su jefe de filas. Amortizado Franco y Tras Galapagar y la cloaca de Dina creen q solo la Jefatura del Estado puede salvarles de su debacle. Va a ser que NO.
42061,@user164,male,journalist,"@user @user @user Disculpe pero lo único falso es su tuit. El mío es de ayer, cuando planteaban un ERTE desde el 1 de abril. Hoy han anunciado que lo retrasan por las críticas como la de un servidor. Lo de mantener el empleo va con el ERTE, no se puede despedir a nadie."
16523,@user100,female,politician,@user @user @user No se equivoque. Ni lo quiero ni lo intento ni lo pretendo. . Yo soy yo y mis circunstancias .... Denota usted una reacción un tanto desafortunada.
25036,@user354,male,politician,"⚠️El #amianto es un término empleado para denominar a un grupo de minerales naturales fibrosos que se utilizaron sobre todo en los 70 y 80 en la construcción y que fueron prohibidos en 2002 en España por causar enfermedades como cáncer de pulmón o de mesotelioma, según la OMS."
8964,@user422,female,politician,"Una de las estrategias de cara a la opinión pública para la privatización ha sido degradar el sistema público debilitándolo, ralentizándolo e infrautilizándolo. . A su vez, también se favoreció la idea de que todo lo público es burocrático e ineficiente, contrario a lo privado."
3519,@user24,female,politician,"@user explica maravillosamente el sectarismo y la traición que ha sufrido [POLITICAL_PARTY] ante el #trizquierdito ([POLITICAL_PARTY], [POLITICAL_PARTY], [POLITICAL_PARTY]) en el reparto de las Mesas de Comisiones. Por si alguien tenia alguna duda de que [POLITICAL_PARTY] el la única oposición firme y frontal frente a la #DictaduraProgre"
50390,@user397,female,politician,"Más vale tarde que nunca. En en junio, el [POLITICAL_PARTY] y Podemos votaron en contra de la iniciativa de [POLITICAL_PARTY] para bajar el IVA de las mascarillas del 21% al 4%. Me alegra que el Gobierno rectifique y anuncie hoy esa rebaja."
17037,@user435,female,politician,🇪🇺Gran noticia para las millones de familias castigadas por la crisis del Coronavirus en Europa y para el futuro de la UE. Un buen primer paso que celebramos desde @user. Esperamos que el plan pueda aprobarse cuanto antes. Juntos saldremos de esta.
12451,@user177,male,politician,❓La ministra Montero se niega a contestarle a @user si el [POLITICAL_PARTY] gobernaría con Ciudadanos después del 28A. 🤷‍♂️ Está claro de qué van estas elecciones: o un gobierno de la gente con [POLITICAL_PARTY] o un gobierno de derechas del [POLITICAL_PARTY] con Ciudadanos . #L6Neldebate
11192,@user366,male,politician,📊 #España recupera los 19 millones de cotizantes a la Seguridad Social por primera vez desde septiembre de 2008; el #paro en junio se ha reducido en 89.968 personas. Esta es la herencia que recibe el @user del buen Gobierno de @user y del @user.
23454,@user367,female,politician,"Es un honor representar a la provincia de Cáceres en las listas electorales al Congreso de los Diputados. Muy agradecida a la militancia que ha depositado su confianza en mí, a @user , @user , @user #LaEspañaQueQuieres"
16450,@user117,male,politician,"Hoy son otros los que vienen a enriquecer nuestra sociedad. Pero también hay quienes nos retrotraen a ese pasado de odio y banalizan las amenazas a la democracia. No son imparables, pero son insistentes. No pueden acabar de golpe con la democracia, pero sí debilitarla."
14761,@user427,female,politician,".@user vas a llegar para quedarte. Tu gran compromiso es un valor añadido a la política, donde todo es muy frágil, rápido y en ocasiones frívolo, y donde a veces es más importante el cargo que lo hay que hacer en el cargo. Yo eso te lo valoro. . #AhoraPepu . [#POLITICAL_PARTY]"
16541,@user192,female,politician,"La primera gramática española de Elio Antonio de Nebrija., quien merece un reconocimiento en el V Cebtenario de su muerte. Hoy junto a @user préstamos la PNL que regístramos para ello en @user Gracias a la Fundación por vuestro trabajo. #Lebrija #español #cultura"
746,@user69,female,politician,"No vamos a permanecer de brazos cruzados ante el paro y la precariedad que sufre España, y mi tierra en especial. Vamos a plantar cara a los abusos de la temporalidad, las subcontratas y los falsos autónomos, y a generar las condiciones para que haya más empleo de calidad."
30199,@user281,male,journalist,Seguramente os acordaréis de esta foto. Es del cierre de Egin. O de esta otra. Es la Guardia Civil el día que cerraron Egunkaria. Falta otra imagen: la del silencio cómplice de quienes callaron o justificaron estos ataques a la #LibertadDePrensa
