id,prediction
0,moderate_left
1,moderate_left
2,moderate_left
3,moderate_left
4,moderate_right
5,moderate_left
6,moderate_left
7,moderate_left
8,moderate_left
9,moderate_left
10,moderate_left
11,moderate_left
12,moderate_left
13,moderate_right
14,moderate_left
15,moderate_left
16,moderate_right
17,moderate_left
18,moderate_left
19,moderate_left
20,moderate_left
21,moderate_left
22,moderate_left
23,moderate_left
24,moderate_left
25,moderate_left
26,left
27,moderate_left
28,moderate_left
29,left
30,moderate_left
31,moderate_right
32,moderate_left
33,moderate_left
34,moderate_left
35,moderate_left
36,moderate_left
37,moderate_left
38,moderate_left
39,moderate_left
40,moderate_left
41,moderate_left
42,right
43,moderate_left
44,moderate_left
45,moderate_left
46,moderate_left
47,moderate_left
48,moderate_left
49,moderate_right
50,moderate_left
51,moderate_left
52,moderate_left
53,moderate_left
54,moderate_right
55,moderate_left
56,moderate_left
57,moderate_right
58,moderate_right
59,moderate_left
60,moderate_left
61,moderate_left
62,left
63,moderate_left
64,moderate_left
65,left
66,moderate_left
67,moderate_left
68,moderate_left
69,moderate_left
70,moderate_left
71,moderate_left
72,moderate_left
73,moderate_right
74,moderate_right
75,moderate_right
76,moderate_left
77,moderate_right
78,moderate_left
79,left
80,moderate_left
81,moderate_right
82,moderate_left
83,moderate_right
84,moderate_left
85,moderate_left
86,moderate_left
87,moderate_left
88,moderate_left
89,moderate_left
90,moderate_right
91,moderate_left
92,moderate_left
93,moderate_left
94,moderate_left
95,moderate_left
96,moderate_left
97,left
98,moderate_left
99,moderate_left
100,moderate_left
101,moderate_left
102,moderate_left
103,moderate_left
104,moderate_left
105,moderate_left
106,moderate_left
107,moderate_right
108,moderate_left
109,moderate_left
110,moderate_left
111,moderate_left
112,moderate_left
113,left
114,moderate_left
115,moderate_left
116,moderate_left
117,moderate_left
118,moderate_left
119,left
120,moderate_right
121,moderate_left
122,moderate_left
123,moderate_left
124,moderate_left
125,moderate_left
126,left
127,moderate_left
128,moderate_left
129,moderate_right
130,moderate_left
131,moderate_left
132,moderate_right
133,moderate_right
134,moderate_left
135,moderate_left
136,moderate_left
137,moderate_left
138,moderate_left
139,left
140,left
141,moderate_right
142,moderate_left
143,moderate_left
144,moderate_left
145,moderate_left
146,moderate_left
147,left
148,moderate_left
149,moderate_right
150,moderate_left
151,moderate_left
152,moderate_left
153,moderate_left
154,moderate_left
155,moderate_right
156,moderate_left
157,moderate_left
158,moderate_left
159,moderate_right
160,moderate_left
161,moderate_right
162,moderate_right
163,moderate_right
164,moderate_right
165,moderate_left
166,moderate_left
167,moderate_left
168,moderate_left
169,moderate_left
170,moderate_left
171,moderate_left
172,moderate_left
173,moderate_left
174,moderate_left
175,moderate_left
176,moderate_left
177,moderate_left
178,moderate_left
179,moderate_right
180,moderate_left
181,left
182,moderate_left
183,moderate_left
184,moderate_left
185,left
186,moderate_left
187,moderate_right
188,moderate_left
189,moderate_left
190,moderate_left
191,moderate_left
192,moderate_left
193,moderate_left
194,moderate_left
195,moderate_left
196,moderate_left
197,moderate_left
198,moderate_left
199,moderate_left
200,moderate_left
201,moderate_right
202,moderate_left
203,moderate_right
204,moderate_right
205,moderate_left
206,moderate_left
207,moderate_right
208,left
209,moderate_left
210,moderate_left
211,moderate_right
212,moderate_left
213,moderate_left
214,moderate_left
215,moderate_left
216,moderate_left
217,moderate_left
218,moderate_left
219,moderate_left
220,moderate_left
221,moderate_left
222,moderate_right
223,left
224,left
225,moderate_left
226,moderate_left
227,moderate_left
228,left
229,moderate_left
230,moderate_left
231,moderate_left
232,moderate_left
233,moderate_right
234,moderate_left
235,moderate_left
236,moderate_left
237,moderate_left
238,moderate_left
239,moderate_right
240,moderate_left
241,moderate_right
242,moderate_left
243,moderate_left
244,moderate_left
245,moderate_left
246,moderate_left
247,moderate_left
248,moderate_left
249,moderate_left
250,moderate_left
251,moderate_left
252,moderate_left
253,moderate_left
254,moderate_right
255,moderate_left
256,moderate_left
257,moderate_left
258,moderate_left
259,moderate_left
260,moderate_left
261,moderate_left
262,left
263,moderate_right
264,moderate_right
265,moderate_right
266,moderate_left
267,moderate_left
268,moderate_left
269,left
270,moderate_right
271,moderate_left
272,moderate_left
273,moderate_left
274,left
275,moderate_left
276,moderate_right
277,left
278,moderate_right
279,moderate_right
280,moderate_left
281,moderate_left
282,moderate_left
283,left
284,moderate_left
285,moderate_right
286,moderate_left
287,moderate_left
288,moderate_left
289,moderate_left
290,moderate_left
291,moderate_left
292,moderate_left
293,moderate_left
294,left
295,moderate_left
296,moderate_left
297,moderate_right
298,moderate_right
299,moderate_left
300,moderate_left
301,moderate_right
302,moderate_left
303,moderate_left
304,moderate_left
305,right
306,moderate_left
307,moderate_left
308,moderate_left
309,moderate_left
310,moderate_left
311,moderate_left
312,moderate_right
313,moderate_left
314,moderate_left
315,moderate_left
316,moderate_left
317,moderate_left
318,moderate_left
319,moderate_left
320,moderate_left
321,moderate_right
322,moderate_left
323,moderate_left
324,moderate_left
325,moderate_left
326,moderate_right
327,moderate_left
328,moderate_left
329,moderate_left
330,moderate_left
331,moderate_left
332,moderate_left
333,moderate_left
334,moderate_left
335,right
336,moderate_left
337,left
338,moderate_left
339,left
340,moderate_right
341,moderate_left
342,moderate_left
343,moderate_left
344,moderate_left
345,moderate_right
346,moderate_left
347,moderate_left
348,moderate_left
349,moderate_left
350,moderate_left
351,moderate_left
352,moderate_left
353,moderate_left
354,moderate_left
355,moderate_left
356,moderate_right
357,moderate_left
358,moderate_left
359,moderate_left
360,moderate_left
361,moderate_left
362,moderate_right
363,moderate_left
364,moderate_right
365,moderate_left
366,moderate_left
367,moderate_right
368,moderate_left
369,moderate_left
370,moderate_left
371,moderate_left
372,moderate_left
373,moderate_right
374,left
375,moderate_left
376,moderate_left
377,left
378,moderate_left
379,moderate_left
380,moderate_left
381,moderate_right
382,moderate_left
383,right
384,left
385,moderate_left
386,moderate_left
387,moderate_left
388,moderate_left
389,moderate_left
390,moderate_left
391,moderate_left
392,moderate_right
393,moderate_right
394,moderate_right
395,moderate_left
396,moderate_right
397,moderate_left
398,moderate_left
399,moderate_left
400,moderate_left
401,moderate_left
402,left
403,right
404,moderate_left
405,moderate_left
406,moderate_left
407,moderate_left
408,moderate_left
409,moderate_left
410,moderate_left
411,moderate_left
412,moderate_left
413,moderate_left
414,moderate_right
415,moderate_left
416,moderate_left
417,moderate_left
418,moderate_left
419,moderate_left
420,moderate_left
421,moderate_left
422,moderate_left
423,moderate_left
424,moderate_left
425,moderate_right
426,moderate_left
427,moderate_left
428,moderate_left
429,moderate_left
430,moderate_right
431,moderate_left
432,left
433,moderate_left
434,moderate_left
435,moderate_left
436,moderate_left
437,moderate_left
438,moderate_left
439,moderate_left
440,moderate_left
441,moderate_right
442,moderate_left
443,moderate_left
444,moderate_right
445,moderate_left
446,moderate_left
447,moderate_right
448,moderate_left
449,moderate_left
450,moderate_left
451,moderate_left
452,left
453,moderate_left
454,moderate_left
455,moderate_right
456,left
457,moderate_left
458,moderate_left
459,moderate_left
460,moderate_left
461,left
462,moderate_left
463,moderate_left
464,moderate_left
465,moderate_left
466,moderate_left
467,right
468,moderate_left
469,moderate_left
470,moderate_left
471,moderate_left
